Ms. 84,L'homme à tout faire : roman,1945,1945,français|fre,papier,dactylographie carbone,191 feuillets (versos blancs),280 x 220 mm,"Demi-reliure chagrin, couture à la grecque, cinq faux nerfs, papier marbré. Reliure d'art Maison C. Lecocq Reliure, Roubaix","Dactylographie signée avec corrections manuscrites. Le dernier feuillet porte la mention suivante : « Roubaix, le 26 mars 1945 ».",Don de l'auteur,,,"Octave Vandekerkhove|Vandekerkhove, Octave",,,,,,,,,
Ms. 85,Bagnards en habit bleu : roman,1945,1945,français|fre,papier,dactylographie carbone,181 feuillets (versos blancs),280 x 220 mm,"Demi-reliure chagrin, couture à la grecque, cinq faux nerfs, papier marbré. Reliure d'art Maison C. Lecocq Reliure, Roubaix","Le dernier feuillet porte la mention suivante : « Roubaix, le 24 juillet 1945 ».",Don de l'auteur,,,"Octave Vandekerkhove|Vandekerkhove, Octave",,,,,,,,,
Ms. 86,Bourreaux en haut de forme : roman,1943,1943,français|fre,papier,dactylographie carbone$manuscrit,162 feuillets (versos blancs),280 x 220 mm,"Demi-reliure chagrin, couture à la grecque, cinq faux nerfs, papier marbré. Reliure d'art Maison C. Lecocq Reliure, Roubaix","Dactylographie signée. Contient une annotation manuscrite de la main de l'auteur datée du 3 février 1943 (fol. 1). Le dernier feuillet porte la mention suivante : « Roubaix, le 18 août 1943 ».",Don de l'auteur,,,"Octave Vandekerkhove|Vandekerkhove, Octave",,,,,,,,,
Ms. 87,C'est la belle vie ! : peccadilles pour personnes pâles : roman,1959,1959,français|fre,papier,dactylographie carbone,202 feuillets (versos blancs),280 x 220 mm,"Demi-reliure chagrin, couture à la grecque, cinq faux nerfs, papier marbré. Reliure d'art Maison C. Lecocq Reliure, Roubaix",Dactylographie avec corrections manuscrites. ,Don de l'auteur,,,"Octave Vandekerkhove|Vandekerkhove, Octave",,,,,,,,,
Ms. 88,Ça sera la belle vie : pages perfides pour paradis perdu ,1959,1959,français|fre,papier,dactylographie carbone,301 feuillets,280 x 220 mm,"Demi-reliure chagrin, couture à la grecque, cinq faux nerfs, papier marbré. Reliure d'art Maison C. Lecocq Reliure, Roubaix","Dactylographie avec annotations manuscrites. Le dernier feuillet porte la mention suivante : « Roubaix, le 23 novembre 1959 ».",Don de l'auteur,,,"Octave Vandekerkhove|Vandekerkhove, Octave",,,,,,,,,
Ms. 89,Vingt ans de misère : roman,1936-1941,1936/1941,français|fre,papier,dactylographie carbone,195 feuillets (versos blancs),280 x 220 mm,"Demi-reliure chagrin, couture à la grecque, cinq faux nerfs, papier marbré. Reliure d'art Maison C. Lecocq Reliure, Roubaix","Dactylographie avec corrections manuscrites. Mention figurant sur le fol. 3 : « Roubaix, juillet 1936, avril 1941 ».",Don de l'auteur,,,"Octave Vandekerkhove|Vandekerkhove, Octave",,,,,,,,,
Ms. 90,Le mystère des « frères Géranium »,1942 ?,1932/1952,français|fre,papier,dactylographie carbone,194 feuillets,280 x 220 mm,"Demi-reliure chagrin, couture à la grecque, cinq faux nerfs, papier marbré. Reliure d'art Maison C. Lecocq Reliure, Roubaix",Pas d'indication de date mais le récit commence en 1942 (fol. 3). ,Don de l'auteur,,,"Octave Vandekerkhove|Vandekerkhove, Octave",,,,,,,,,
Ms. 91,"[Acta Sanctorum Belgii selecta, Tome I, p. 491, quae collegis Josephum Ghesquierum presbyter]",18 septembre 1881 ? ,1881-09-18,latin|lat,papier,manuscrit,4 feuillets,220 x 170 mm,Reliure,,Don de Maurice Bodart en 1997,,,,,,,,,,,,
Ms. 92,Cahier de chansons,1868,1868,français|fre,papier,manuscrit,190 feuillets (154-183 blancs),220 x 170 mm,"Cahier unique cousu, couverture en toile",Contient 184 chansons manuscrites (fol. 1-153). L'index en fin de volume n'en indique que 182. 2 feuillets rédigés dans le sens inverses du cahier : « Pharmacies de poche » (fol. 183v-184). Index (fol. 185-189).,Achat en 1999,,,"Marie Frémont|Frémont, Marie",,,,,,,,,
Ms. 93,Chansons. Chansonnettes. Romances. Mélodies. 1,Fin XIXe siècle-début XXe siècle,1875/1925,français|fre,papier,manuscrit,20 feuillets,240 x 180 mm,Cahier unique cousu,Contient 11 textes accompagnés de la notation musicale. Index en fin de cahier. ,Provenance inconnue,,,,,,,,,,,,
Ms. 94,Chansons. Chansonnettes. Romances. Mélodies. 2,Fin XIXe siècle-début XXe siècle,1875/1925,français|fre,papier,manuscrit,19 feuillets,240 x 180 mm,Cahier unique cousu,Contient 9 textes accompagnés de la notation musicale. L'index en fin de cahier tient compte de la numérotation du premier cahier. ,Provenance inconnue,,,,,,,,,,,,
Ms. 95,"Journal de guerre. Roubaix, 1914-1915",1914-1915,1914/1915,français|fre,papier,dactylographie,231 feuillets,265 x 210 mm,"Demi-reliure toile, plats papiers","Dactylographie au carbone avec annotations et corrections manuscrites. Récit descriptif de la vie quotidienne d’une roubaisienne Marie-Antoinette Craveri pendant la Première Guerre mondiale. Rédigé au jour le jour, le journal, commencé le 4 août 1915 et achevé le 31 mars 1915, retrace les huit premiers mois de la guerre et de l’occupation allemande à Roubaix (fol. 1-230). Tables des matières (fol. 231). Le folio 1 porte la note suivante : « la première page du carnet a disparu ». ",Provenance inconnue,http://www.bn-r.fr/fr/notice.php?id=MS_095,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,"Marie-Antoinette Craveri|Craveri, Marie-Antoinette",,,,,,,,,
Ms. 96,"Vieux souvenirs de guerre, 1914-1915",1914-1915,1914/1915,français|fre,papier,dactylographie,101 feuillets,270 x 215 mm,Reliure papier à coutures apparentes au niveau du mors,"Récit des souvenirs d’un réserviste incorporé à la 51ème Division de réserve pendant la Première Guerre mondiale. Page de titre manuscrite puis feuillets suivants dactylographiés. Le journal a pu appartenir à un dénommé Leclercq. L’auteur relate dans son carnet ses premiers mois d’incorporation, de sa mobilisation sous les drapeaux à sa réformation et à son retour parmi ses proches. Il décrit notamment les batailles auxquels il a participé. A ce récit sont joints divers textes : fol. 1 à 4 : Les vertus d’un chef ; fol. 5 à 7 : Le code du chef. ",Provenance inconnue,http://www.bn-r.fr/fr/notice.php?id=MS_096,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,Leclercq|Leclercq,,,,,,,,,
Ms. 97,Maximes. Pensées. Extraits,Entre 1953 et 1958,1953/1958,français|fre,papier,manuscrit,54 feuillets (46-54 blancs),100 x 130 mm,"Reliure chagrin bleu marine, quatre nerfs au dos, quatre fleurons de type floral au centre des caissons,  triple filets dorés et à froid. Plats ornés, fleurons aux angles  d’un encadrement, motif central, double filets dorés. Filets pointillés sur le champ des cartons. Chasses ornées. ","Recueil de pensées et de maximes composées par des poètes français du XVIe et du XVIIe siècle. Comportent également des extraits de textes religieux issus des évangiles : Psaumes, Cantiques, Béatitudes. Copiés par un auteur inconnu,  initiales H. R. au dos. Décorations d’inspiration florale sous formes de frises et d’arabesques illustrent et ornent le pourtour des textes pour chacun des feuillets du manuscrit.",Achat au Salon du livre ancien de Lille en novembre 2007 auprès de la Librairie Legry de Lambersart (40 euros),,,,,,,,,,,,
Ms. 98,"Catalogue alphabétique des volumes, publications, revues, journaux, etc. se trouvant à la Bibliothèque municipale. Ville de Roubaix",1930,1930,français|fre,papier,dactylographie$manuscrit,276 feuillets,310 x 250 mm,"Classeur, reliure noire","Catalogue des documents se trouvant à la Bibliothèque municipale de Roubaix. Page de titre manuscrite puis feuillets suivants dactylographiés. Concerne des documents dont les dates extrêmes courent du 15e au 20e siècle : on y trouve la description des manuscrits à peinture d'Isabeau de Roubaix (1460), les ouvrages les plus récents sont datés des années 20 du 20e siècle. Or il n'existait plus de bibliothèque municipale à Roubaix suite au transfert en 1890 à L'ENSAIT. Aucune indication sur le rédacteur du catalogue, quant à la localisation des ouvrages, elle semble correspondre à celle de la bibliothèque de L'ENSAIT. ",Don de L'ENSAIT en 1989 selon le numéro d'inventaire ,,,,Bibliothèque Municipale de Roubaix,,,,,,,,
Ms. 99,Atlas scolaire,XIXe siècle,1801/1900,français|fre,papier,manuscrit$aquarelle,14 planches,360 x 275 mm (oblong),"Registre d'élève. Reliure percaline rouge, initiales LL sous la couverture","Les 14 planches aquarellées représentent des cartes géographiques : Pl. 1 Atlas ; Pl. 2 et 3 Europe ; Pl. 4  Asie ; Pl. 5 Afrique ; Pl. 6 Amérique ; Pl. 7 Océanie ; Pl. 8 Algérie, notre principale colonie ; Pl. 9 Colonies françaises ; Pl. 10 Empire de Charlemagne ; Pl. 11 France féodale ; Pl. 12 France - Provinces, époque de leur réunion à la couronne ; Pl. 13 France - Départements ; Pl. 14 Département du Nord",Achat lors d’une vente aux enchères chez May &amp; Duhamel en 2004 (200 euros),http://www.bn-r.fr/fr/notice.php?id=Ms_099,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,"L. Lotar|Lotar, L.",,,,,,,,,
Ms. 100,Journal de Marthe Forceville. Premier et deuxième cahier,1915-1918,1915/1918,français|fre,papier,manuscrit,2 cahiers (39 feuillets ; 52 feuillets),2 cahiers : 190 x 147 mm ; 210 x 165 mm,"Cahiers uniques cousus, couverture imprimée pour le premier, couverture toile noire nervurée pour le second","Marthe Forceville est une roubaisienne de 18 ans lorsque la Première Guerre mondiale éclate. Elle vit alors au 98 rue de la Fosse aux Chênes au dessus de la boutique de vins et liqueurs tenue par ses parents Romanie et Emile Forceville. Par ennui, elle décide d'écrire un journal. Elle commence le premier cahier le 17 janvier 1915 et le termine le 3 septembre 1915 ; le second cahier reprend le 21 octobre 1915 et se termine le 22 octobre 1918. Elle nous y laisse découvrir sa vie durant le reste de la guerre et nous conte ses peines, ses prières, ses lectures et ses espoirs. L'attention est attirée sur le fait que les premiers écrits de Marthe Forceville sont datés de janvier 1914. Cela semble vraisemblablement être impossible puisqu'elle y décrit des événements survenus lors de la guerre qui a débuté en août 1914. Le parti a été pris de dater ces notices à l'année 1915",Don de Catherine Morfouace en 2015,,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,"Marthe Forceville|Forceville, Marthe",,,,,,,,,
Ms. 101,"Notices, vocabulaire, pasquilles en patois roubaisien",Entre 1944 et 1949,1944/1949,français|fre,papier,dactylographie carbone,97 feuillets,280 x 210 mm,Demi-reliure,Dactylographie sur le patois roubaisien. Cf. aussi le Ms. 102. ,Don de l'auteur. Inscrit dans le registre des entrées sous le numéro d’inventaire 8604,,,"André Rys|Rys, André",,,,,,,,,
Ms. 102,"Le Patois roubaisien, notions, vocabulaire, pasquilles",1955,1955,français|fre,papier,dactylographie carbone,148 feuillets,280 x 210 mm,Demi-reliure,Dactylographie sur le patois roubaisien. Version augmentée du Ms. 101,Don de l'auteur. Inscrit dans le registre des entrées sous le numéro d’inventaire 9689,,,"André Rys|Rys, André",,,,,,,,,
Ms. 103,La Musique à Roubaix,Vers 1955,1945/1965,français|fre,papier,manuscrit,404 feuillets,290 x 240 mm,"Reliure cuir bleu marine, titre à l’or au dos","Tome I. La Grande Harmonie de Roubaix. Contient de nombreux extraits de presse ; Portrait (fol. 2v). Cf. « La Musique à Roubaix », par Marcel Debruyne, 1962, 2 vol., cote Res. 4° 29-30 de la Médiathèque de Roubaix, reproduction d’une autre partie de ce manuscrit. ",Don de l'auteur. Inscrit dans le registre des entrées sous le numéro d’inventaire 14 129,,,"Marcel Debruyne|Debruyne, Marcel",,,,,,,,,
Ms. 104,La Musique à Roubaix,Vers 1955,1945/1965,français|fre,papier,manuscrit,171 feuillets,290 x 240 mm,"Demi-reliure toile à bande, plats papiers marbrés, « filmoluxée »","Tome II. La Musique à l’Église Saint-Martin avant la Révolution. Renseignements sur les sociétés au 19e siècle. Contient de nombreux extraits de presse ; Portrait (fol. 2) ; Tables des matières (fol 3-3v). Cf. « La Musique à Roubaix », par Marcel Debruyne, 1962, 2 vol., cote Res. 4° 29-30 de la Médiathèque de Roubaix, reproduction d’une autre partie de ce manuscrit. ",Don de l'auteur. Inscrit dans le registre des entrées sous le numéro d’inventaire 14 130,,,"Marcel Debruyne|Debruyne, Marcel",,,,,,,,,
Ms. 105,Chronique de la prise d'Arras en 1640,Fin XVIIe siècle,1675/1700,latin|lat ,papier,manuscrit,22 feuillets,320 x 210 mm,Demi-reliure,Contient : « Vera et succinta obsidionis Atrebatensis enarratio » (fol. 2-14) ; « Conditiones quibus urbs civitas que Atrebatensis Gallo dedita » (fol. 16-20) ; Pièces liminaires. Initiale ornée (fol. 2). ,Provenance inconnue. Inscrit dans le registre des entrées sous le numéro d’inventaire 7996,,,,,,,,,,,,
Ms. 106,"Lorsque tout souriait : épisodes de la 1ère guerre, 1914-1918",Entre 1919 et 1972,1919/1972,français|fre,papier,dactylographie,19 feuillets (versos blancs),270 x 210 mm,Reliure toile,Dactylographie avec corrections manuscrites,Don de l'auteur. Inscrit dans le registre des entrées sous le numéro d’inventaire 60 785,,,"Marie Emmanuel de Grimonpont|Grimonpont, Marie Emmanuel de",,,,,,,,,
Ms. 107,Cours de tissage. Première année,1882-1883,1882/1883,français|fre,papier,manuscrit,54 feuillets,460 x 330 mm,"Registre d'école. Demi-reliure, dos orné","Cahiers de l'élève Pierre Guillemyn à l'École Nationale des Arts Industriels de Roubaix, professeur Claude Sadon. Contient de nombreux schémas et planches, certains schémas sont en couleur. Échantillons de tissus collés. ",Don de Marcel Guillemyn. Inscrit dans le registre des entrées sous le numéro d’inventaire 128 398,http://www.bn-r.fr/fr/notice.php?id=Ms_107,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,"Pierre Guillemyn|Guillemyn, Pierre",,,,,,,,,
Ms. 108,Cours de tissage. 2ème et 3ème année,1883-1884,1883/1884,français|fre,papier,manuscrit,76 feuillets,460 x 330 mm,Registre d'école. Demi-reliure,"Cahiers de l'élève Pierre Guillemyn à l'École Nationale des Arts Industriels de Roubaix, professeur Claude Sadon. Sur la page de titre figure la mention suivante : « Cours de 2ème et 3ème années, Pierre Guillemyn, sur 74 leçons en a suivi 67 ». Contient de nombreux schémas et planches, certains schémas sont en couleur. Les cours de 3ème année démarrent à partir du folio 54. ",Don de Marcel Guillemyn. Inscrit dans le registre des entrées sous le numéro d’inventaire 128 399,http://www.bn-r.fr/fr/notice.php?id=Ms_108,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,"Pierre Guillemyn|Guillemyn, Pierre",,,,,,,,,
Ms. 109,Le Christ perdu,Entre 1930 et 1968,1930/1968,français|fre,papier,manuscrit,1 feuillet (verso blanc),900 x 560 mm,Feuillet volant,Poème. Envoi de l'auteur à Monsieur Vandecrux. ,Don de Marcel Guillemyn. Inscrit dans le registre des entrées sous le numéro d’inventaire 128 460,,,"Paul Vanriet|Vanriet, Paul",,,,,,,,,
Ms. 110,"Le Poème en noir, poème livre",1984,1984,français|fre,carton$papier,collages et découpages,16 feuillets,330 x 330 mm,Feuillets réunis dans une boîte en bois vernis,"Maquette n°1 du « Poème en noir, poème livre ». Exemplaire n°1/2.",Provenance inconnue. Inscrit dans le registre des entrées sous le numéro d’inventaire 124 224,,,"Philippe Bootz|Bootz, Philippe",,,,,,,,,
Ms. 111,"Histoire de Roubaix, histoires d'un roubaigno",Vers 1983,1973/1993,français|fre,papier,manuscrit,33 feuillets,300 x 210 mm,Reliure,Poèmes et anecdotes en picard. Contient des photocopies. ,Don de l'auteur. Inscrit dans le registre des entrées sous le numéro d’inventaire 112 588,,,"H. Vandoorsselaere|Vandoorsselaere, H.",,,,,,,,,
